outcome	model_name	term	estimate	conf_low	conf_high	pvalue	qvalue
host_logit	host_base	C(collection_year)[T.2024]	4.2243502655912355	-0.029618708186751164	8.478319239369222	0.05161660933082363	0.35648886169268373
host_logit	host_base	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.328136874420111	-0.11619029649436707	2.772464045334589	0.0714993529742667	0.35648886169268373
host_logit	host_base	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.252655750787789	-0.7753762674837537	3.2806877690593312	0.22604409405891357	0.6135482553027655
host_logit	host_base	C(collection_year)[T.2023]	1.2382833198076828	-2.570350759641869	5.046917399257234	0.5239725058712975	0.9414252047816027
host_logit	host_base	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.39576321003209586	-1.1722593151163188	1.9637857351805104	0.6208205034867265	0.9414252047816027
host_logit	host_base	C(collection_year)[T.2025]	1.321817558347575	-5.109860930707669	7.75349604740282	0.6870913903593219	0.9414252047816027
host_logit	host_base	C(collection_year)[T.2022]	0.7125883579312595	-2.9715366636987937	4.396713379561312	0.7046144686307235	0.9414252047816027
host_logit	host_base	Intercept	-0.1639360223698199	-4.09518165772187	3.76730961298223	0.9348598045901665	0.9748299266883108
host_logit	host_extended	C(chronicity_group, Treatment('unknown'))[T.acute_like]	2.0183206253428234	-0.057535812967762556	4.09417706365341	0.05669688669257226	0.35648886169268373
host_logit	host_extended	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.2411380685789952	-0.1253627796348853	2.607638916792876	0.07505028667214395	0.35648886169268373
host_logit	host_extended	C(collection_year)[T.2024]	3.0528301012376047	-1.0824780697280372	7.188138272203247	0.1479208921835527	0.5620993902975003
host_logit	host_extended	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.3272586141489555	-0.790242609131792	3.444759837429703	0.21925422172051967	0.6135482553027655
host_logit	host_extended	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.7435286328685605	-0.8331241207888341	2.320181386525955	0.35533370766167527	0.8439175556964789
host_logit	host_extended	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.74505957907506	-1.3314119297650409	2.8215310879151607	0.4818965578237081	0.9414252047816027
host_logit	host_extended	Intercept	-0.4979238974688668	-4.124530650541299	3.1286828556035653	0.7878542096124266	0.9414252047816027
host_logit	host_extended	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.4213602556418433	-2.92823095622333	3.7709514675070164	0.8052543755468238	0.9414252047816027
host_logit	host_extended	C(collection_year)[T.2025]	0.7368631433059307	-5.59792646585446	7.071652752466321	0.8196593482139481	0.9414252047816027
host_logit	host_extended	C(collection_year)[T.2022]	0.37478814889277884	-3.3180684281748363	4.067644725960394	0.842327814804592	0.9414252047816027
host_logit	host_extended	C(collection_year)[T.2023]	0.060526452933177925	-3.6993783133128275	3.8204312191791834	0.9748299266883108	0.9748299266883108
