model	formula	status	n_samples	aic	bic	logLik	patient_var	batch_var	pd_hessian	warning	record_type	tested_effect	full_model	reduced_model	lrt_statistic	df_diff	pvalue_chisq	pvalue_boundary
fixed_only	cbind(host_pairs, non_host_pairs) ~ body_region + chronicity_group + culture_positive + years_since_first_sample	ok	74	2118.3389848849074	2141.3796358169493	-1049.1694924424537	NA	NA	TRUE		model_fit	NA	NA	NA	NA	NA	NA	NA
patient_plus_batch	cbind(host_pairs, non_host_pairs) ~ body_region + chronicity_group + culture_positive + years_since_first_sample + (1 | patient_id) + (1 | batch_id)	ok	74	2121.045893055271	2148.694674173721	-1048.5229465276354	0.1257248360582645	1.363563876677503e-7	TRUE		model_fit	NA	NA	NA	NA	NA	NA	NA
batch_only	cbind(host_pairs, non_host_pairs) ~ body_region + chronicity_group + culture_positive + years_since_first_sample + (1 | batch_id)	ok	74	2120.3389818342202	2145.683697859466	-1049.1694909171101	NA	2.8799370658522715e-8	TRUE		model_fit	NA	NA	NA	NA	NA	NA	NA
patient_only	cbind(host_pairs, non_host_pairs) ~ body_region + chronicity_group + culture_positive + years_since_first_sample + (1 | patient_id)	ok	74	2119.0458885752546	2144.3906046005004	-1048.5229442876273	0.12572793557053516	NA	TRUE		model_fit	NA	NA	NA	NA	NA	NA	NA
no_body_region	cbind(host_pairs, non_host_pairs) ~ chronicity_group + culture_positive + years_since_first_sample + (1 | patient_id) + (1 | batch_id)	ok	74	2121.187998575688	2141.9245844145257	-1051.593999287844	0.21406468232013523	2.47360682668259e-7	TRUE		fixed_effect_reduced_model_fit	NA	NA	NA	NA	NA	NA	NA
no_chronicity	cbind(host_pairs, non_host_pairs) ~ body_region + culture_positive + years_since_first_sample + (1 | patient_id) + (1 | batch_id)	ok	74	2122.0068675895163	2142.743453428354	-1052.0034337947582	0.21107216112277286	5.961521757202518e-7	TRUE		fixed_effect_reduced_model_fit	NA	NA	NA	NA	NA	NA	NA
upper_extremity_contrast	cbind(host_pairs, non_host_pairs) ~ upper_extremity_binary + chronicity_group + culture_positive + years_since_first_sample + (1 | patient_id) + (1 | batch_id)	ok	74	2121.006058773121	2144.046709705163	-1050.5030293865605	0.21266462995332544	5.773500477567049e-7	TRUE		contrast_model_fit	NA	NA	NA	NA	NA	NA	NA
acute_like_contrast	cbind(host_pairs, non_host_pairs) ~ body_region + acute_like_binary + culture_positive + years_since_first_sample + (1 | patient_id) + (1 | batch_id)	ok	74	2117.4425315547323	2140.4831824867742	-1048.7212657773662	0.13435116696906144	9.578824687065659e-8	TRUE		contrast_model_fit	NA	NA	NA	NA	NA	NA	NA
patient_only_vs_fixed_only	NA	ok	74	NA	NA	NA	NA	NA	NA		random_effect_test	patient_only_vs_fixed	patient_only	fixed_only	1.2930963096528103	1	0.25547812339884046	0.12773906169942023
batch_only_vs_fixed_only	NA	ok	74	NA	NA	NA	NA	NA	NA		random_effect_test	batch_only_vs_fixed	batch_only	fixed_only	3.050687155337073e-6	1	0.9986063982679921	0.49930319913399607
patient_plus_batch_vs_patient_only	NA	ok	74	NA	NA	NA	NA	NA	NA		random_effect_test	batch_added_to_patient	patient_plus_batch	patient_only	0	1	1	0.5
patient_plus_batch_vs_batch_only	NA	ok	74	NA	NA	NA	NA	NA	NA		random_effect_test	patient_added_to_batch	patient_plus_batch	batch_only	1.2930887789493681	1	0.2554795074091627	0.12773975370458135
patient_plus_batch_vs_no_body_region	NA	ok	74	NA	NA	NA	NA	NA	NA		fixed_effect_test	body_region_overall	patient_plus_batch	no_body_region	6.142105520417317	3	0.10489749105869599	NA
patient_plus_batch_vs_no_chronicity	NA	ok	74	NA	NA	NA	NA	NA	NA		fixed_effect_test	chronicity_group_overall	patient_plus_batch	no_chronicity	6.960974534245452	3	0.0731521037809043	NA
