term	df	sum_of_squares	r2	f_statistic	pvalue	qvalue	term_label
batch_id	35	10.210196921674601	0.5281034176039162	1.43899772129412	0.0145	0.1015	Batch date
host_removed_fraction	1	0.4359854762714588	0.022550536665542135	2.1506317565633375	0.068	0.11900000000000001	Host fraction
log10_bacterial_reads	1	0.40895583995251616	0.0211524790740845	2.0172998053868683	0.062	0.11900000000000001	Bacterial read depth
years_since_first_sample	1	0.39831473444443866	0.02060208771248695	1.9648092966976214	0.058	0.11900000000000001	Years since first patient sample
body_region	3	0.28595987644757237	0.014790741961986372	0.4701948611151762	0.91	0.91	Body region
chronicity_group	2	0.6652186361650965	0.03440719487660824	1.640697227152179	0.207	0.28979999999999995	Chronicity
culture_positive	1	0.20308934065891515	0.010504417858309863	1.0018003103585615	0.3305	0.3855833333333334	Culture positivity
Residual	15	3.040865608030596	0.1572831094634541	NA	NA	NA	Residual
Total	60	19.33370734088369	1	NA	NA	NA	Total
