group	level	random_intercept
batch	2023-06-23	-3.6566265525432415
batch	2023-07-31	-2.8701301224758713
batch	2022-10-06	-2.275063697810155
batch	2023-06-08	-1.9809505719315446
batch	2022-01-06	-1.7279140123496852
batch	2022-06-02	-1.7025981780406232
batch	2024-01-11	-1.3413483970697715
batch	2022-11-18	-1.2387450407999676
batch	2023-03-23	-1.2280354653281107
batch	2023-09-21	-1.0678995371755742
batch	2025-01-31	-0.9753754479668488
batch	2022-03-31	-0.9666067372970613
batch	2022-06-09	-0.95599169220853
batch	2022-10-25	-0.8735407093086843
batch	2022-12-01	-0.8449093440239569
batch	2021-12-16	-0.7511928705015917
batch	2023-09-28	-0.6985059934696696
batch	2024-09-19	-0.1992593389076729
batch	2022-06-01	-0.11940313565165606
batch	2024-04-04	-0.08406370802661504
batch	2023-08-31	-0.0374041800416207
batch	2023-01-26	0.05006324947633916
batch	2023-01-05	0.05266110168777518
batch	2024-04-19	0.12117029286856706
batch	2023-04-20	0.20744815406128608
batch	2023-07-27	0.24831406270181616
batch	2021-12-02	0.5656165212986292
batch	2024-03-21	0.6624548351999141
batch	2024-07-11	0.8215399264741258
batch	2023-08-17	0.8999255539726897
batch	2022-11-17	0.9666067372970611
batch	2024-09-12	1.0702017105712005
batch	2024-05-16	1.2969457648630862
batch	2024-07-19	1.3430651765789925
batch	2024-05-02	1.5785814477499125
batch	2022-01-21	1.99128402931064
batch	2022-03-17	2.23938421395915
batch	2023-03-30	2.668691088643989
batch	2024-09-26	2.755441301746054
batch	2024-02-01	2.8408399089221223
batch	2022-10-26	3.2153296555450797
patient	02	-1.220731013007433
patient	12	-0.9561816486775548
patient	13	-0.9008716646893555
patient	07	-0.8914826328890063
patient	11	-0.7703879594469345
patient	01	-0.7078021663676239
patient	09	-0.6061025764095935
patient	08	-0.5225099915723876
patient	06	-0.4729486815723407
patient	03	-0.21277797032282345
patient	14	-0.19687421931204338
patient	15	0.40602691210107844
patient	10	0.4784812916715867
patient	05	0.5871621408413347
patient	20	0.8709641327464579
patient	16	0.8796209075500089
patient	04	2.0717780952901426
patient	17	2.164637044066478
